(7.87e-6, 8.02e-4, 5.00e-5)	(5.1812659473555456e-6, 1.7953381161429226e-6, 2.996173472378936e-20)	-9.900913775892778e-3
(7.87e-6, 8.17e-4, 5.00e-5)	(3.7277967837970095e-5, 1.8569982614582915e-6, 4.5760127640820666e-20)	-9.902592277090278e-3
(7.87e-6, 8.33e-4, 5.00e-5)	(7.05728736853405e-5, 1.908983886156167e-6, 6.13316273580183e-20)	-9.905025892505791e-3
(7.87e-6, 8.49e-4, 5.00e-5)	(1.0506356532747599e-4, 1.942719970120402e-6, 2.3218092919392516e-20)	-9.908354662651263e-3
(7.87e-6, 8.65e-4, 5.00e-5)	(1.4075447576622442e-4, 1.948454950319102e-6, 4.1012743014557594e-20)	-9.91267954960133e-3
(7.87e-6, 8.81e-4, 5.00e-5)	(1.7765733255860038e-4, 1.9156729963532636e-6, 6.117061694853393e-20)	-9.918063990829746e-3
(7.87e-6, 8.97e-4, 5.00e-5)	(2.15792713181173e-4, 1.8336579717687913e-6, 5.740980229237367e-20)	-9.92451569514503e-3
(7.87e-6, 9.13e-4, 5.00e-5)	(2.5519302964647014e-4, 1.6919525245712797e-6, 3.1713375098987848e-21)	-9.93197422682673e-3
(7.87e-6, 9.29e-4, 5.00e-5)	(2.959074039479765e-4, 1.4821277474746236e-6, 5.762615552868703e-20)	-9.940165240511228e-3
(7.87e-6, 9.44e-4, 5.00e-5)	(3.3801202765547427e-4, 1.199037792552246e-6, -1.2586397430706845e-20)	-9.948592143519511e-3
(7.87e-6, 9.60e-4, 5.00e-5)	(3.816301198107763e-4, 8.52197753453759e-7, 1.5059307037104902e-20)	-9.955710873472502e-3
(7.87e-6, 9.76e-4, 5.00e-5)	(4.2699009607812866e-4, 4.6146446427031315e-7, 2.445400906112532e-20)	-9.960223575055459e-3
(7.87e-6, 9.92e-4, 5.00e-5)	(4.7454912502071546e-4, 1.333188715901242e-7, 4.374043933004182e-20)	-9.95617578547783e-3
(2.36e-5, 7.94e-6, 5.00e-5)	(-1.5491098492163215e-5, 2.8182634185683847e-8, 1.4421879530261648e-21)	-9.889100056771542e-3
(2.36e-5, 2.38e-5, 5.00e-5)	(-4.5542801543261226e-5, 7.468125142639628e-8, 4.06661697766885e-21)	-9.89169227815861e-3
(2.36e-5, 3.97e-5, 5.00e-5)	(-7.440558011315736e-5, 9.77249366393852e-8, 4.796123753473297e-21)	-9.893121225171156e-3
(2.36e-5, 5.56e-5, 5.00e-5)	(-1.0202815561878895e-4, 1.135272496975888e-7, 2.981791517305474e-21)	-9.893855671200909e-3
(2.36e-5, 7.14e-5, 5.00e-5)	(-1.2840318637434567e-4, 1.273582031689798e-7, 5.129175975954304e-21)	-9.894193833160194e-3
