(6.25e-5, 2.14e-4, 5.00e-5)	(1.9886759098852877e-7, -6.1741916438030606e-2, 1.0249135097560857e-17)	1.6168907419201858e1
(6.25e-5, 2.30e-4, 5.00e-5)	(-1.563813598658102e-7, -6.078772863528231e-2, 8.987135747020024e-18)	1.6434384754517264e1
(6.25e-5, 2.46e-4, 5.00e-5)	(-3.167969737969352e-7, -5.937831982275428e-2, 5.870681367441457e-18)	1.6682222340851343e1
(6.25e-5, 2.62e-4, 5.00e-5)	(-1.980201937469004e-7, -5.755639785509427e-2, 3.0520953616679054e-18)	1.6912690230731027e1
(6.25e-5, 2.78e-4, 5.00e-5)	(4.712498746628787e-8, -5.536320019179248e-2, -1.2023001782928727e-18)	1.71254685297082e1
(6.25e-5, 2.94e-4, 5.00e-5)	(1.043747615118461e-7, -5.282027079670504e-2, -5.4022109973453726e-18)	1.7332555606073207e1
(6.25e-5, 3.10e-4, 5.00e-5)	(7.071666864494392e-8, -4.994601045928884e-2, 2.0530276376074518e-17)	1.752309642299142e1
(6.25e-5, 3.25e-4, 5.00e-5)	(5.77017339733259e-8, -4.6774089738548345e-2, 1.566559409470486e-17)	1.769733844604557e1
(6.25e-5, 3.41e-4, 5.00e-5)	(5.432265004225727e-9, -4.333511074633908e-2, 1.1548923885696972e-17)	1.785615034705316e1
(6.25e-5, 3.57e-4, 5.00e-5)	(-1.0198912701579536e-8, -3.965784718045502e-2, 7.992595036475234e-18)	1.7999125610247237e1
(6.25e-5, 3.73e-4, 5.00e-5)	(-4.938180901852845e-8, -3.576934346270213e-2, 3.3787433496469224e-18)	1.8127176646968945e1
(6.25e-5, 3.89e-4, 5.00e-5)	(-2.274461164243043e-8, -3.1696482560519684e-2, -3.1359967191357196e-17)	1.8238994573441865e1
(6.25e-5, 4.05e-4, 5.00e-5)	(-2.2448171285886383e-8, -2.746497733364333e-2, -3.354227492547994e-17)	1.833621978757336e1
(6.25e-5, 4.21e-4, 5.00e-5)	(8.09456827570079e-9, -2.30984504473299e-2, -5.933636949645449e-18)	1.841820468327856e1
(6.25e-5, 4.37e-4, 5.00e-5)	(1.0428015707065207e-8, -1.8620496782138646e-2, -6.732582983718941e-18)	1.848533912432325e1
(6.25e-5, 4.52e-4, 5.00e-5)	(2.6863029892405984e-8, -1.4054089517974046e-2, -7.028304155194141e-18)	1.8537405991868365e1
(6.25e-5, 4.68e-4, 5.00e-5)	(-1.1685189864389586e-9, -9.421527619994746e-3, -8.518168919894215e-18)	1.8574878416212133e1
(6.25e-5, 4.84e-4, 5.00e-5)	(-5.817048275490404e-9, -4.744816721601778e-3, -9.570797446182722e-18)	1.8597341850589853e1
(6.25e-5, 5.00e-4, 5.00e-5)	(-1.8209747347593302e-8, -4.611720623892198e-5, -1.1843713010374858e-17)	1.8605027617232956e1
(6.25e-5, 5.16e-4, 5.00e-5)	(1.2443680448082617e-8, 4.652190507410206e-3, -8.664361078514963e-18)	1.859752545199492e1
