(6.25e-5, 4.37e-4, 5.00e-5)	(5.0618600e2, 5.9120651e-4, -1.3720200e-13, 2.4993901e1, 2.8489736e2, 5.1804452e-15, -1.1692584e-13, -3.4482015e-14, 3.3669999e-29, )	(4.0495158e4, 3.7548410e3, 3.7548410e3, )
(6.25e-5, 4.52e-4, 5.00e-5)	(5.0956978e2, -3.6529083e-4, -1.3811923e-13, 1.8845306e1, 2.8976751e2, 2.8421709e-14, -1.1974272e-13, -5.6245954e-14, 5.0487098e-29, )	(4.0764698e4, 2.8204876e3, 2.8204876e3, )
(6.25e-5, 4.68e-4, 5.00e-5)	(5.1198836e2, -1.0294224e-3, -1.3877473e-13, 1.2647224e1, 2.9324208e2, 0.0000000e0, -1.0960361e-13, -8.0088535e-14, 2.5243549e-29, )	(4.0959531e4, 1.8879795e3, 1.8879795e3, )
(6.25e-5, 4.84e-4, 5.00e-5)	(5.1344300e2, -5.3679867e-4, -1.3916900e-13, 6.4162663e0, 2.9532541e2, 7.1054274e-15, -1.1284236e-13, -1.0475463e-13, 5.0487098e-29, )	(4.1075284e4, 9.4969979e2, 9.4969979e2, )
(6.25e-5, 5.00e-4, 5.00e-5)	(5.1393460e2, 5.7521293e-4, -8.1315163e-20, 1.6990592e-1, 2.9600571e2, -1.6653345e-16, -1.0335164e-13, 2.8552744e-14, -5.0487098e-29, )	(4.1115620e4, 5.7834440e0, 5.7834440e0, )
(6.25e-5, 5.16e-4, 5.00e-5)	(5.1346336e2, 9.5117279e-4, -2.7834905e-13, -6.0729119e0, 2.9529319e2, -2.6726728e-15, -1.1999524e-13, 2.7039291e-13, 6.4759902e-29, )	(4.1076449e4, -9.2700256e2, -9.2700256e2, )
(6.25e-5, 5.32e-4, 5.00e-5)	(5.1202950e2, 6.7200583e-4, -2.7757179e-13, -1.2296095e1, 2.9320893e2, -1.4210855e-14, -1.4684307e-13, 3.0594808e-13, 8.8352421e-29, )	(4.0962799e4, -1.8556985e3, -1.8556985e3, )
(6.25e-5, 5.48e-4, 5.00e-5)	(5.0963208e2, 9.9975575e-5, -9.7578196e-19, -1.8484718e1, 2.8974497e2, -1.2221335e-12, -1.7366268e-13, -1.6650316e-12, 3.8370194e-27, )	(4.0769763e4, -2.7891149e3, -2.7891149e3, )
(6.25e-5, 5.63e-4, 5.00e-5)	(5.0626993e2, -6.7935143e-4, -2.7444713e-13, -2.4622097e1, 2.8488480e2, 1.0231815e-12, 2.0062980e-13, -1.5096578e-12, -1.0097420e-28, )	(4.0501904e4, -3.7213078e3, -3.7213078e3, )
(6.25e-5, 5.79e-4, 5.00e-5)	(5.0194083e2, -1.0500641e-3, -2.7210271e-13, -3.0691368e1, 2.7860161e2, -2.8421709e-14, 1.5455580e-13, 5.0990287e-13, 0.0000000e0, )	(4.0154720e4, -4.6620868e3, -4.6620868e3, )
(6.25e-5, 5.95e-4, 5.00e-5)	(4.9664214e2, -1.1078222e-3, 0.0000000e0, -3.6672800e1, 2.7085556e2, 0.0000000e0, 1.1966225e-13, 4.2212371e-13, 0.0000000e0, )	(3.9731878e4, -5.6069446e3, -5.6069446e3, )
(6.25e-5, 6.11e-4, 5.00e-5)	(4.9037041e2, -1.3033343e-3, -5.4210109e-20, -4.2545149e1, 2.6163060e2, 5.6843419e-14, 8.3862466e-14, 4.4923691e-13, -5.0487098e-29, )	(3.9229000e4, -6.5420861e3, -6.5420861e3, )
(6.25e-5, 6.27e-4, 5.00e-5)	(4.8312176e2, -5.1681257e-4, -2.6190069e-13, -4.8289151e1, 2.5089632e2, -7.1702229e-14, 4.7922253e-14, 4.3627196e-13, 3.4856064e-29, )	(3.8650866e4, -7.4871588e3, -7.4871588e3, )
(6.25e-5, 6.43e-4, 5.00e-5)	(4.7489091e2, 1.4240023e-3, 0.0000000e0, -5.3882175e1, 2.3858460e2, 0.0000000e0, 1.1324770e-14, 3.7960457e-13, 0.0000000e0, )	(3.7991367e4, -8.4430008e3, -8.4430008e3, )
